Stanje,Trajanje_u_min
0,76.9045
2,14.6935
1,107.0235
2,24.7516
1,11.1309
0,16.5442
2,46.7207
0,12.8709
2,4.6091
1,12.7425
2,5.4541
1,3.3535
2,41.5123
1,40.159
2,10.7945
0,6.7152
1,3.8179
2,0.6115
1,40.6725
2,19.1087
1,16.1069
2,0.8916
1,30.9896
2,2.313
1,77.0409
2,6.3481
1,7.7806
2,1.425
1,16.5262
2,0.7989
1,11.5249
2,10.0054
1,8.2744
2,4.0774
0,140.9929
2,2.4952
1,40.0775
2,1.3045
0,22.4114
1,9.556
2,6.1307
1,15.7264
2,3.4719
0,4.9195
1,15.4645
2,0.6454
0,12.7173
2,12.4078
1,10.6044
2,8.3479
0,29.7588
2,53.8565
1,4.3331
0,34.8166
2,4.2725
0,0.9314
2,10.4058
1,20.7041
2,6.3703
1,43.6628
2,15.5623
0,49.9116
2,26.0489
0,1.9261
2,0.6998
0,66.2282
1,26.4773
2,3.5524
1,23.2501
2,13.1923
1,10.5401
2,13.8749
1,56.556
2,3.2547
1,3.4278
2,3.2639
0,16.7087
1,2.7699
2,2.9767
1,14.4786
2,0.826
0,6.2424
2,9.9415
1,7.171
2,37.1892
0,26.5662
2,7.3224
1,15.9799
0,3.9751
2,0.4671
1,3.4256
2,0.762
0,0.6735
2,7.0474
1,3.2558
2,4.2763
0,27.4727
2,23.5006
0,46.2383
2,16.515
1,14.76
0,36.7899
2,3.5944
1,20.7338
2,0.3164
1,0.1199
2,2.8582
1,6.7898
0,48.7812
2,1.7564
1,86.6071
0,51.4061
2,8.8483
1,33.9819
0,2.9977
1,60.1192
2,2.5394
1,53.2634
2,4.9549
1,13.3783
0,18.0341
2,6.4239
1,15.7743
2,15.3161
0,7.2622
2,2.9636
0,20.4564
1,6.4364
2,33.7161
1,31.6529
2,13.5985
1,7.8637
2,3.9234
1,18.6379
2,8.1624
0,59.139
2,0.9709
0,92.7329
1,10.0101
2,23.9509
1,3.6292
2,14.3006
1,40.2791
2,8.5873
0,9.6153
2,32.1068
1,17.0013
2,0.3029
0,74.6843
1,18.5289
2,2.424
1,20.8573
2,12.6042
0,27.4501
2,3.4709
1,8.1555
2,13.3879
1,4.6133
2,11.1302
1,52.414
2,15.495
1,20.7667
2,24.2309
0,28.1912
2,3.4757
0,121.632
2,3.6736
1,8.3044
2,27.8843
0,5.3107
2,13.1998
1,23.1128
2,21.3416
1,2.772
2,8.4868
1,1.1977
2,12.0465
0,3.0434
1,48.008
2,2.8045
1,5.7155
0,84.8204
1,50.9549
2,14.9624
0,23.0909
2,4.8919
1,3.1895
0,21.3834
2,4.1068
1,18.9186
2,0.4619
1,20.3298
2,23.9141
1,5.5933
2,3.0958
1,29.5006
2,8.8657
1,12.5408
0,33.4293
2,4.2466
