"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"2","0.000000667","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"3","0.000000773","88.99.245.8","172.21.0.134","TCP","120","[TCP Retransmission] 443  >  52454 [PSH, ACK] Seq=2791 Ack=1 Win=501 Len=54 TSval=1403223237 TSecr=4004727723"
"7","0.203656293","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9","0.407328359","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"11","0.720759472","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"13","1.022427043","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"14","1.022427711","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"17","1.077428170","88.99.245.8","172.21.0.134","TCP","1434","443  >  52454 [ACK] Seq=9955 Ack=1 Win=501 Len=1368 TSval=1403224297 TSecr=4004728958 [TCP segment of a reassembled PDU]"
"19","1.077781628","88.99.245.8","172.21.0.134","TLSv1.2","120","Application Data"
"21","1.329316652","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"23","1.636241686","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"25","1.841162502","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"27","2.046096629","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"29","2.353089874","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"31","2.558282232","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"33","2.865620959","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"35","3.070990200","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"37","3.381540054","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"39","3.584430497","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"41","3.786557532","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"43","4.095350101","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"45","4.299636721","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"47","4.506344667","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"49","4.810605611","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"51","5.118246448","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"53","5.323631296","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"55","5.527942554","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"57","5.732535360","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"59","5.940483209","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"61","6.458469783","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"62","6.458470104","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"65","6.465079640","88.99.245.8","172.21.0.134","TCP","120","[TCP Spurious Retransmission] 443  >  52454 [PSH, ACK] Seq=42607 Ack=1 Win=501 Len=54 TSval=1403229757 TSecr=4004734178"
"67","6.653905140","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"69","6.961157981","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"71","7.165867931","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"73","7.473205584","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"74","7.473206061","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"77","7.678046983","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"79","7.985074052","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"81","8.091086141","88.99.245.8","172.21.0.134","TCP","1434","443  >  52454 [ACK] Seq=52615 Ack=1 Win=501 Len=1368 TSval=1403231330 TSecr=4004736222 [TCP segment of a reassembled PDU]"
"83","8.091638832","88.99.245.8","172.21.0.134","TLSv1.2","120","Application Data"
"85","8.394698182","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"87","8.702244504","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"89","8.906970878","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"91","9.112256687","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"93","9.389874996","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"95","9.565376722","88.99.245.8","172.21.0.134","TCP","1434","443  >  52454 [ACK] Seq=61147 Ack=1 Win=501 Len=1368 TSval=1403232799 TSecr=4004737627 [TCP segment of a reassembled PDU]"
"97","9.566374199","88.99.245.8","172.21.0.134","TLSv1.2","120","Application Data"
"99","9.829770481","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"101","10.136616904","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"103","10.341932266","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"105","10.545584191","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"107","10.853471998","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"109","11.057372799","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"111","11.262040960","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"113","11.569218121","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"115","11.774091643","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"117","11.978826045","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"119","12.286038093","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"121","12.492620084","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"123","12.798109653","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"125","13.112446733","88.99.245.8","172.21.0.134","TCP","120","[TCP Previous segment not captured] 443  >  52454 [PSH, ACK] Seq=82423 Ack=1 Win=501 Len=54 TSval=1403236166 TSecr=4004741035"
"127","13.414341710","88.99.245.8","172.21.0.134","TCP","1434","[TCP Retransmission] 443  >  52454 [ACK] Seq=81055 Ack=1 Win=501 Len=1368 TSval=1403236166 TSecr=4004741035"
