"No.","Time","Source","Destination","Protocol","Length","Info"
"2","0.023138598","104.26.10.104","172.21.0.134","TCP","74","443  >  44548 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1380 SACK_PERM TSval=81924579 TSecr=1864124865 WS=8192"
"5","0.054462692","104.26.10.104","172.21.0.134","TCP","66","443  >  44548 [ACK] Seq=1 Ack=668 Win=24576 Len=0 TSval=81924608 TSecr=1864124893"
"6","0.056271974","104.26.10.104","172.21.0.134","TLSv1.3","1434","Server Hello, Change Cipher Spec"
"8","0.057230091","104.26.10.104","172.21.0.134","TCP","1434","443  >  44548 [ACK] Seq=1369 Ack=668 Win=24576 Len=1368 TSval=81924613 TSecr=1864124893 [TCP segment of a reassembled PDU]"
"10","0.057597271","104.26.10.104","172.21.0.134","TCP","1434","443  >  44548 [ACK] Seq=2737 Ack=668 Win=24576 Len=1368 TSval=81924613 TSecr=1864124893 [TCP segment of a reassembled PDU]"
"12","0.058607820","104.26.10.104","172.21.0.134","TLSv1.3","1216","Application Data"
"17","0.108281904","104.26.10.104","172.21.0.134","TLSv1.3","578","Application Data, Application Data"
"18","0.108882147","104.26.10.104","172.21.0.134","TLSv1.3","97","Application Data"
"20","0.132380980","104.26.10.104","172.21.0.134","TCP","66","443  >  44548 [ACK] Seq=5798 Ack=1350 Win=24576 Len=0 TSval=81924689 TSecr=1864124951"
"21","0.150313844","104.26.10.104","172.21.0.134","TLSv1.3","582","Application Data"
"22","0.150977453","104.26.10.104","172.21.0.134","TLSv1.3","1457","Application Data"
"23","0.150977758","104.26.10.104","172.21.0.134","TLSv1.3","2848","Application Data, Application Data"
"24","0.150977853","104.26.10.104","172.21.0.134","TLSv1.3","11010","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"27","0.151185693","104.26.10.104","172.21.0.134","TLSv1.3","1434","Application Data"
"28","0.152498386","104.26.10.104","172.21.0.134","TLSv1.3","1434","Application Data"
"30","0.153144431","104.26.10.104","172.21.0.134","TLSv1.3","7251","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"31","0.153144851","104.26.10.104","172.21.0.134","TLSv1.3","9642","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"33","0.154023406","104.26.10.104","172.21.0.134","TLSv1.3","1434","[TCP Previous segment not captured] , Continuation Data"
"35","0.154386028","104.26.10.104","172.21.0.134","TLSv1.3","1434","Continuation Data"
"37","0.184707178","104.26.10.104","172.21.0.134","TLSv1.3","1434","Continuation Data"
"39","0.185397326","104.26.10.104","172.21.0.134","TLSv1.3","5538","Continuation Data"
"40","0.185397649","104.26.10.104","172.21.0.134","TLSv1.3","6906","[TCP Previous segment not captured] , Continuation Data"
"41","0.185457007","104.26.10.104","172.21.0.134","TLSv1.3","1434","[TCP Previous segment not captured] , Continuation Data"
"43","0.185688591","104.26.10.104","172.21.0.134","TLSv1.3","1434","Continuation Data"
"44","0.186194010","104.26.10.104","172.21.0.134","TLSv1.3","1434","Continuation Data"
"46","0.215241245","104.26.10.104","172.21.0.134","TCP","1434","[TCP Retransmission] 443  >  44548 [ACK] Seq=40928 Ack=1350 Win=24576 Len=1368 TSval=81924742 TSecr=1864125019"
"48","0.216780445","104.26.10.104","172.21.0.134","TCP","8274","[TCP Retransmission] 443  >  44548 [PSH, ACK] Seq=42296 Ack=1350 Win=24576 Len=8208 TSval=81924742 TSecr=1864125019"
"50","0.216780841","104.26.10.104","172.21.0.134","TLSv1.3","5538","[TCP Previous segment not captured] , Continuation Data"
"52","0.217071692","104.26.10.104","172.21.0.134","TLSv1.3","1434","Continuation Data"
"54","0.218185850","104.26.10.104","172.21.0.134","TLSv1.3","1434","Continuation Data"
"56","0.238718526","104.26.10.104","172.21.0.134","TCP","1434","[TCP Out-Of-Order] 443  >  44548 [ACK] Seq=74030 Ack=1350 Win=24576 Len=1368 TSval=81924795 TSecr=1864125080"
"58","0.245676695","104.26.10.104","172.21.0.134","TCP","1434","[TCP Retransmission] 443  >  44548 [ACK] Seq=75398 Ack=1350 Win=24576 Len=1368 TSval=81924795 TSecr=1864125080"
"59","0.246362587","104.26.10.104","172.21.0.134","TCP","10571","[TCP Retransmission] 443  >  44548 [PSH, ACK] Seq=76766 Ack=1350 Win=24576 Len=10505 TSval=81924795 TSecr=1864125080"
"60","0.246426609","104.26.10.104","172.21.0.134","TCP","1434","[TCP Retransmission] 443  >  44548 [ACK] Seq=87271 Ack=1350 Win=24576 Len=1368 TSval=81924795 TSecr=1864125080"
"61","0.246426796","104.26.10.104","172.21.0.134","TCP","611","[TCP Retransmission] 443  >  44548 [ACK] Seq=88639 Ack=1350 Win=24576 Len=545 TSval=81924796 TSecr=1864125082"
"62","0.246571510","104.26.10.104","172.21.0.134","TLSv1.3","1434","[TCP Previous segment not captured] , Continuation Data"
"64","0.247609288","104.26.10.104","172.21.0.134","TLSv1.3","1434","Continuation Data"
"66","0.263417136","104.26.10.104","172.21.0.134","TCP","1434","[TCP Out-Of-Order] 443  >  44548 [ACK] Seq=60080 Ack=1350 Win=24576 Len=1368 TSval=81924819 TSecr=1864125104"
"68","0.277101284","104.26.10.104","172.21.0.134","TCP","1434","[TCP Retransmission] 443  >  44548 [PSH, ACK] Seq=61448 Ack=1350 Win=24576 Len=1368 TSval=81924819 TSecr=1864125104"
"70","0.277723459","104.26.10.104","172.21.0.134","TCP","336","[TCP Retransmission] 443  >  44548 [ACK] Seq=69656 Ack=1350 Win=24576 Len=270 TSval=81924825 TSecr=1864125111"
"72","0.277723788","104.26.10.104","172.21.0.134","TLSv1.3","12378","[TCP Previous segment not captured] , Continuation Data"
"74","0.278040756","104.26.10.104","172.21.0.134","TLSv1.3","1434","Continuation Data"
"76","0.278880514","104.26.10.104","172.21.0.134","TLSv1.3","1434","Continuation Data"
"78","0.285301095","104.26.10.104","172.21.0.134","TCP","1434","[TCP Out-Of-Order] 443  >  44548 [ACK] Seq=104720 Ack=1350 Win=24576 Len=1368 TSval=81924842 TSecr=1864125128"
"80","0.287271514","104.26.10.104","172.21.0.134","TCP","1434","[TCP Out-Of-Order] 443  >  44548 [PSH, ACK] Seq=106088 Ack=1350 Win=24576 Len=1368 TSval=81924842 TSecr=1864125128"
"82","0.309002768","104.26.10.104","172.21.0.134","TCP","1434","[TCP Retransmission] 443  >  44548 [ACK] Seq=107456 Ack=1350 Win=24576 Len=1368 TSval=81924856 TSecr=1864125142"
"83","0.309639737","104.26.10.104","172.21.0.134","TCP","1434","[TCP Retransmission] 443  >  44548 [ACK] Seq=108824 Ack=1350 Win=24576 Len=1368 TSval=81924856 TSecr=1864125142"
"84","0.309640208","104.26.10.104","172.21.0.134","TCP","2802","[TCP Retransmission] 443  >  44548 [PSH, ACK] Seq=110192 Ack=1350 Win=24576 Len=2736 TSval=81924857 TSecr=1864125143"
"85","0.309640299","104.26.10.104","172.21.0.134","TCP","4170","[TCP Retransmission] 443  >  44548 [ACK] Seq=112928 Ack=1350 Win=24576 Len=4104 TSval=81924857 TSecr=1864125143"
"86","0.309640391","104.26.10.104","172.21.0.134","TLSv1.3","5538","[TCP Previous segment not captured] , Continuation Data"
"87","0.309914968","104.26.10.104","172.21.0.134","TLSv1.3","1434","Continuation Data"
"89","0.310255403","104.26.10.104","172.21.0.134","TLSv1.3","1434","Continuation Data"
"91","0.339774278","104.26.10.104","172.21.0.134","TCP","1434","[TCP Retransmission] 443  >  44548 [ACK] Seq=97392 Ack=1350 Win=24576 Len=1368 TSval=81924866 TSecr=1864125150"
"93","0.340371818","104.26.10.104","172.21.0.134","TCP","1434","[TCP Retransmission] 443  >  44548 [PSH, ACK] Seq=98760 Ack=1350 Win=24576 Len=1368 TSval=81924866 TSecr=1864125150"
"95","0.340372233","104.26.10.104","172.21.0.134","TCP","1922","[TCP Retransmission] 443  >  44548 [PSH, ACK] Seq=100128 Ack=1350 Win=24576 Len=1856 TSval=81924867 TSecr=1864125152"
"97","0.340372328","104.26.10.104","172.21.0.134","TCP","8274","[TCP Retransmission] 443  >  44548 [PSH, ACK] Seq=132080 Ack=1350 Win=24576 Len=8208 TSval=81924889 TSecr=1864125175"
"99","0.340584477","104.26.10.104","172.21.0.134","TCP","1434","[TCP Retransmission] 443  >  44548 [ACK] Seq=140288 Ack=1350 Win=24576 Len=1368 TSval=81924889 TSecr=1864125175"
"101","0.341950880","104.26.10.104","172.21.0.134","TCP","1434","[TCP Retransmission] 443  >  44548 [ACK] Seq=141656 Ack=1350 Win=24576 Len=1368 TSval=81924889 TSecr=1864125175"
"103","0.342281986","104.26.10.104","172.21.0.134","TCP","1434","[TCP Retransmission] 443  >  44548 [ACK] Seq=143024 Ack=1350 Win=24576 Len=1368 TSval=81924889 TSecr=1864125175"
"105","0.362742091","104.26.10.104","172.21.0.134","TLSv1.3","1434","Continuation Data"
"107","0.363062050","104.26.10.104","172.21.0.134","TLSv1.3","1434","Continuation Data"
"109","0.371366305","104.26.10.104","172.21.0.134","TLSv1.3","1434","Continuation Data"
