Stanje,Trajanje_u_min
2,3.3705
1,3.1974
2,2.2409
0,3.3714
1,47.6163
0,19.487
2,6.9282
1,27.0526
2,18.0675
1,23.0519
2,0.2371
1,13.3029
0,22.6956
1,27.02
2,16.1358
0,20.5776
2,29.8148
0,2.3984
2,34.2649
1,2.966
2,2.2389
1,8.3043
2,18.5678
0,47.0569
1,37.892
2,0.0178
0,19.3566
2,12.8393
1,6.9634
2,4.3
0,1.9345
1,9.2886
2,5.0421
0,61.55
2,30.6139
1,5.7565
2,5.5356
1,13.1117
0,10.1345
2,4.4236
1,49.624
2,13.7622
1,6.9781
2,18.6492
1,1.8326
2,2.0577
1,2.9114
2,6.4048
0,125.3692
2,23.3891
0,94.456
2,7.8314
1,85.9254
2,17.2173
0,2.641
2,32.765
1,33.6268
0,35.0089
2,13.7183
1,4.7199
2,8.1527
1,0.2758
2,6.4182
1,45.8805
2,2.6068
0,57.5041
2,10.2657
1,3.2228
2,1.2765
0,9.2575
2,35.8337
1,25.1976
2,5.563
1,38.7449
2,6.5154
0,14.9906
2,15.0277
1,12.4236
2,18.0056
0,30.5205
2,11.5039
1,2.1775
2,0.6308
1,41.3079
2,0.445
0,3.9522
1,38.476
0,21.028
2,15.8651
0,1.4332
1,5.8419
0,16.7129
2,25.7387
1,47.5525
2,7.9559
1,4.3393
2,9.0914
1,5.4636
2,0.0757
1,12.5998
2,1.5322
1,4.0427
2,19.1509
0,85.1275
2,29.8491
0,19.0608
2,32.855
0,31.872
2,1.9569
0,10.8085
2,18.0907
1,47.7008
2,10.6689
0,40.8069
2,8.8022
1,8.9296
2,7.6312
1,25.1309
2,2.5434
1,24.3617
2,16.7886
1,18.6684
2,3.2807
1,17.6891
2,28.4266
1,1.9543
2,9.2188
0,18.7612
2,3.122
0,4.3801
2,2.9121
0,18.3151
1,23.6339
2,11.9858
0,12.8831
2,0.9071
1,13.8455
2,11.8585
0,51.2246
2,3.5897
1,10.3379
2,3.741
1,44.1134
2,31.7419
1,6.745
2,4.4765
1,27.1253
2,4.8016
1,7.9621
2,2.3565
1,12.8571
2,0.1983
1,127.2484
2,7.3009
0,53.6314
2,9.0407
1,19.8572
2,10.5751
0,26.4914
1,11.3474
2,8.7501
1,0.2373
2,4.3503
1,17.254
2,7.1907
1,13.351
2,23.8805
0,5.4567
1,8.1026
2,17.9245
0,15.9301
1,11.0955
2,4.1061
1,16.7766
0,31.5713
2,12.6974
0,14.3936
2,3.934
1,12.3628
2,23.2589
0,22.4055
2,16.8026
0,35.1991
2,8.6289
0,12.2054
2,9.6071
1,103.2633
2,1.9633
1,2.6357
2,3.1567
1,35.682
2,21.8292
1,6.1296
2,6.3361
1,32.9487
2,8.279
1,15.5913
2,12.147
0,19.3186
2,27.3562
1,15.1273
2,5.5903
0,3.744
1,3.6933
2,22.6269
1,16.02
2,6.2527
1,44.4084
2,62.4672
1,2.1634
2,77.6196
0,8.5855
2,12.2254
0,36.5268
2,17.0044
0,38.4195
2,23.9314
0,67.5437
2,26.6026
0,34.2257
2,15.9035
1,22.4179
2,9.0514
0,45.091
