"No.","Time","Source","Destination","Protocol","Length","Info"
"9","0.000117483","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"10","0.000118150","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"11","0.000118256","88.99.245.8","172.21.0.134","TCP","120","[TCP Retransmission] 443  >  52454 [PSH, ACK] Seq=2791 Ack=1 Win=501 Len=54 TSval=1403223237 TSecr=4004727723"
"20","0.000232275","172.21.0.134","88.99.245.8","TCP","66","52454  >  443 [ACK] Seq=1 Ack=1423 Win=10363 Len=0 TSval=4004728237 TSecr=1403222888"
"21","0.000291897","172.21.0.134","88.99.245.8","TCP","66","52454  >  443 [ACK] Seq=1 Ack=2845 Win=10352 Len=0 TSval=4004728237 TSecr=1403223113"
"22","0.000316728","172.21.0.134","88.99.245.8","TCP","78","[TCP Dup ACK 21#1] 52454  >  443 [ACK] Seq=1 Ack=2845 Win=10352 Len=0 TSval=4004728237 TSecr=1403223237 SLE=2791 SRE=2845"
"23","0.203773776","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"24","0.203854659","172.21.0.134","88.99.245.8","TCP","66","52454  >  443 [ACK] Seq=1 Ack=4267 Win=10363 Len=0 TSval=4004728441 TSecr=1403223341"
"25","0.407445842","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"26","0.407532611","172.21.0.134","88.99.245.8","TCP","66","52454  >  443 [ACK] Seq=1 Ack=5689 Win=10363 Len=0 TSval=4004728645 TSecr=1403223609"
"54","0.720876955","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"55","0.720954586","172.21.0.134","88.99.245.8","TCP","66","52454  >  443 [ACK] Seq=1 Ack=7111 Win=10363 Len=0 TSval=4004728958 TSecr=1403223845"
"107","1.022544526","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"110","1.022545194","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"112","1.022658230","172.21.0.134","88.99.245.8","TCP","66","52454  >  443 [ACK] Seq=1 Ack=8533 Win=10363 Len=0 TSval=4004729260 TSecr=1403224089"
"114","1.022765928","172.21.0.134","88.99.245.8","TCP","66","52454  >  443 [ACK] Seq=1 Ack=9955 Win=10352 Len=0 TSval=4004729260 TSecr=1403224144"
