"No.","Time","Source","Destination","Protocol","Length","Info"
"6","3.237782186","172.21.0.134","34.107.221.82","TCP","66","44110  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=2472576254 TSecr=3817124735"
"7","3.238722198","172.21.0.134","34.107.221.82","TCP","66","44108  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=2472576255 TSecr=3784173459"
"8","3.239807521","54.227.95.54","172.21.0.134","TLSv1.2","90","Application Data"
"9","3.240100868","172.21.0.134","54.227.95.54","TLSv1.2","94","Application Data"
"10","3.261810427","34.107.221.82","172.21.0.134","TCP","66","[TCP ACKed unseen segment] 80  >  44110 [ACK] Seq=1 Ack=2 Win=277 Len=0 TSval=3817134976 TSecr=2472545490"
"11","3.263621197","34.107.221.82","172.21.0.134","TCP","66","[TCP ACKed unseen segment] 80  >  44108 [ACK] Seq=1 Ack=2 Win=277 Len=0 TSval=3784183699 TSecr=2472545461"
"12","3.361516667","54.227.95.54","172.21.0.134","TCP","66","443  >  51174 [ACK] Seq=25 Ack=29 Win=534 Len=0 TSval=96106933 TSecr=965903573"
"26","8.357794515","172.21.0.134","204.79.197.239","TCP","54","58090  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0"
"27","8.369522895","204.79.197.239","172.21.0.134","TCP","60","[TCP ACKed unseen segment] 443  >  58090 [ACK] Seq=1 Ack=2 Win=16387 Len=0"
"29","8.909645507","172.21.0.134","52.108.8.12","TLSv1.2","93","Application Data"
"30","8.926331762","52.108.8.12","172.21.0.134","TCP","60","443  >  38614 [ACK] Seq=1 Ack=40 Win=16386 Len=0"
"31","8.926332354","52.108.8.12","172.21.0.134","TLSv1.2","93","Application Data"
"32","8.926446267","172.21.0.134","52.108.8.12","TCP","54","38614  >  443 [ACK] Seq=40 Ack=40 Win=501 Len=0"
"35","11.605648751","172.21.0.134","213.147.96.51","DNS","79","Standard query 0xa5e5 A lrod.an32fd1b3.site"
"36","11.605912803","172.21.0.134","213.147.96.51","DNS","79","Standard query 0x3e22 AAAA lrod.an32fd1b3.site"
"37","11.680571864","213.147.96.51","172.21.0.134","DNS","163","Standard query response 0x3e22 AAAA lrod.an32fd1b3.site AAAA 2606:4700:20::681a:b68 AAAA 2606:4700:20::ac43:4a75 AAAA 2606:4700:20::681a:a68"
"38","11.680571798","213.147.96.51","172.21.0.134","DNS","127","Standard query response 0xa5e5 A lrod.an32fd1b3.site A 104.26.10.104 A 172.67.74.117 A 104.26.11.104"
"39","11.686004352","172.21.0.134","104.26.10.104","TCP","74","44548  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1864124865 TSecr=0 WS=128"
"40","11.709142950","104.26.10.104","172.21.0.134","TCP","74","443  >  44548 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1380 SACK_PERM TSval=81924579 TSecr=1864124865 WS=8192"
"41","11.709274684","172.21.0.134","104.26.10.104","TCP","66","44548  >  443 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1864124888 TSecr=81924579"
"42","11.714399044","172.21.0.134","104.26.10.104","TLSv1.3","733","Client Hello"
"43","11.740467044","104.26.10.104","172.21.0.134","TCP","66","443  >  44548 [ACK] Seq=1 Ack=668 Win=24576 Len=0 TSval=81924608 TSecr=1864124893"
"44","11.742276326","104.26.10.104","172.21.0.134","TLSv1.3","1434","Server Hello, Change Cipher Spec"
"45","11.742364995","172.21.0.134","104.26.10.104","TCP","66","44548  >  443 [ACK] Seq=668 Ack=1369 Win=63104 Len=0 TSval=1864124921 TSecr=81924613"
"46","11.743234443","104.26.10.104","172.21.0.134","TCP","1434","443  >  44548 [ACK] Seq=1369 Ack=668 Win=24576 Len=1368 TSval=81924613 TSecr=1864124893 [TCP segment of a reassembled PDU]"
"47","11.743289851","172.21.0.134","104.26.10.104","TCP","66","44548  >  443 [ACK] Seq=668 Ack=2737 Win=61824 Len=0 TSval=1864124922 TSecr=81924613"
"48","11.743601623","104.26.10.104","172.21.0.134","TCP","1434","443  >  44548 [ACK] Seq=2737 Ack=668 Win=24576 Len=1368 TSval=81924613 TSecr=1864124893 [TCP segment of a reassembled PDU]"
"49","11.743647532","172.21.0.134","104.26.10.104","TCP","66","44548  >  443 [ACK] Seq=668 Ack=4105 Win=60544 Len=0 TSval=1864124922 TSecr=81924613"
"50","11.744612172","104.26.10.104","172.21.0.134","TLSv1.3","1216","Application Data"
"51","11.744673394","172.21.0.134","104.26.10.104","TCP","66","44548  >  443 [ACK] Seq=668 Ack=5255 Win=63104 Len=0 TSval=1864124923 TSecr=81924613"
"52","11.770507128","172.21.0.134","104.26.10.104","TLSv1.3","130","Change Cipher Spec, Application Data"
"53","11.771770730","172.21.0.134","104.26.10.104","TLSv1.3","236","Application Data"
"54","11.771858963","172.21.0.134","104.26.10.104","TLSv1.3","483","Application Data"
"55","11.794286256","104.26.10.104","172.21.0.134","TLSv1.3","578","Application Data, Application Data"
"56","11.794886499","104.26.10.104","172.21.0.134","TLSv1.3","97","Application Data"
"57","11.796557187","172.21.0.134","104.26.10.104","TLSv1.3","97","Application Data"
"58","11.818385332","104.26.10.104","172.21.0.134","TCP","66","443  >  44548 [ACK] Seq=5798 Ack=1350 Win=24576 Len=0 TSval=81924689 TSecr=1864124951"
"59","11.836318196","104.26.10.104","172.21.0.134","TLSv1.3","582","Application Data"
"60","11.836981805","104.26.10.104","172.21.0.134","TLSv1.3","1457","Application Data"
"61","11.836982110","104.26.10.104","172.21.0.134","TLSv1.3","2848","Application Data, Application Data"
"62","11.836982205","104.26.10.104","172.21.0.134","TLSv1.3","11010","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
