"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","104.17.92.199","10.2.255.181","TCP","66","443  >  59839 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM WS=8192"
"2","0.011574","104.17.92.199","10.2.255.181","TCP","60","443  >  59839 [ACK] Seq=1 Ack=1788 Win=65536 Len=0"
"3","0.015115","104.17.92.199","10.2.255.181","TLSv1.3","1514","Server Hello, Change Cipher Spec"
"4","0.015115","104.17.92.199","10.2.255.181","TCP","1514","443  >  59839 [ACK] Seq=1461 Ack=1788 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"5","0.015115","104.17.92.199","10.2.255.181","TCP","1514","443  >  59839 [ACK] Seq=2921 Ack=1788 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"6","0.015311","104.17.92.199","10.2.255.181","TLSv1.3","460","Application Data"
"7","0.030700","104.17.92.199","10.2.255.181","TCP","60","443  >  59839 [ACK] Seq=4787 Ack=3252 Win=65536 Len=0"
"8","0.072406","104.17.92.199","10.2.255.181","TCP","60","443  >  59839 [ACK] Seq=4787 Ack=4318 Win=65536 Len=0"
"9","0.097296","104.17.92.199","10.2.255.181","TLSv1.3","768","Application Data, Application Data"
"10","0.109475","104.17.92.199","10.2.255.181","TCP","60","443  >  59839 [ACK] Seq=5501 Ack=4351 Win=65536 Len=0"
"11","0.109475","104.17.92.199","10.2.255.181","TCP","60","443  >  59839 [ACK] Seq=5501 Ack=4388 Win=65536 Len=0"
"12","0.136978","104.17.92.199","10.2.255.181","TLSv1.3","140","Application Data"
"13","0.151890","104.17.92.199","10.2.255.181","TLSv1.3","401","Application Data"
"14","0.167465","104.17.92.199","10.2.255.181","TLSv1.3","79","Application Data"
"15","0.193414","104.17.92.199","10.2.255.181","TLSv1.3","169","Application Data"
"16","0.235394","104.17.92.199","10.2.255.181","TLSv1.3","169","Application Data"
"17","0.247967","104.17.92.199","10.2.255.181","TLSv1.3","343","Application Data"
"18","0.270407","104.17.92.199","10.2.255.181","TLSv1.3","169","Application Data"
"19","0.310472","104.17.92.199","10.2.255.181","TLSv1.3","169","Application Data"
"20","0.351549","104.17.92.199","10.2.255.181","TLSv1.3","169","Application Data"
"21","0.390698","104.17.92.199","10.2.255.181","TLSv1.3","169","Application Data"
"22","0.430948","104.17.92.199","10.2.255.181","TLSv1.3","169","Application Data"
"23","0.449076","104.17.92.199","10.2.255.181","TLSv1.3","343","Application Data"
"24","0.474251","104.17.92.199","10.2.255.181","TLSv1.3","169","Application Data"
"25","0.510010","104.17.92.199","10.2.255.181","TLSv1.3","188","Application Data"
"26","0.551442","104.17.92.199","10.2.255.181","TLSv1.3","195","Application Data"
"27","0.595126","104.17.92.199","10.2.255.181","TLSv1.3","184","Application Data"
"28","0.630002","104.17.92.199","10.2.255.181","TLSv1.3","184","Application Data"
"29","0.648477","104.17.92.199","10.2.255.181","TLSv1.3","343","Application Data"
"30","0.670988","104.17.92.199","10.2.255.181","TLSv1.3","184","Application Data"
"31","0.710469","104.17.92.199","10.2.255.181","TLSv1.3","184","Application Data"
"32","0.751232","104.17.92.199","10.2.255.181","TLSv1.3","202","Application Data"
"33","0.791305","104.17.92.199","10.2.255.181","TLSv1.3","184","Application Data"
"34","0.829003","104.17.92.199","10.2.255.181","TLSv1.3","180","Application Data"
"35","0.848697","104.17.92.199","10.2.255.181","TLSv1.3","343","Application Data"
"36","0.870717","104.17.92.199","10.2.255.181","TLSv1.3","165","Application Data"
"37","0.911088","104.17.92.199","10.2.255.181","TLSv1.3","154","Application Data"
"38","0.949238","104.17.92.199","10.2.255.181","TLSv1.3","154","Application Data"
"39","0.985895","104.17.92.199","10.2.255.181","TLSv1.3","154","Application Data"
"40","1.031657","104.17.92.199","10.2.255.181","TLSv1.3","154","Application Data"
"41","1.066707","104.17.92.199","10.2.255.181","TCP","1514","443  >  59839 [ACK] Seq=9745 Ack=4429 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"42","1.066707","104.17.92.199","10.2.255.181","TLSv1.3","236","Application Data"
"43","1.081746","104.17.92.199","10.2.255.181","TLSv1.3","154","Application Data"
"44","1.097877","104.17.92.199","10.2.255.181","TLSv1.3","81","Application Data"
